date,open,high,low,close
2023-06-06 09:30:00-04:00,126.01000213623047,127.09159851074219,125.36000061035156,127.04499816894531
2023-06-06 10:30:00-04:00,127.04499816894531,127.80999755859375,126.66999816894531,126.9800033569336
2023-06-06 11:30:00-04:00,126.97000122070312,127.87000274658203,126.95259857177734,127.625
2023-06-06 12:30:00-04:00,127.62999725341797,128.27999877929688,127.33000183105469,128.27499389648438
2023-06-06 13:30:00-04:00,128.27000427246094,128.2899932861328,127.36000061035156,127.74500274658203
2023-06-06 14:30:00-04:00,127.73500061035156,128.13999938964844,127.52999877929688,127.66000366210938
2023-06-06 15:30:00-04:00,127.66999816894531,127.66999816894531,127.13999938964844,127.29499816894531
2023-06-07 09:30:00-04:00,126.97000122070312,129.0399932861328,125.62999725341797,125.7249984741211
2023-06-07 10:30:00-04:00,125.72000122070312,126.0,123.7300033569336,124.20999908447266
2023-06-07 11:30:00-04:00,124.22000122070312,124.38999938964844,122.66000366210938,122.68000030517578
2023-06-07 12:30:00-04:00,122.68000030517578,123.32499694824219,122.12999725341797,122.66500091552734
2023-06-07 13:30:00-04:00,122.66999816894531,123.13990020751953,122.27999877929688,122.91999816894531
2023-06-07 14:30:00-04:00,122.91000366210938,122.91999816894531,122.2699966430664,122.55500030517578
2023-06-07 15:30:00-04:00,122.55500030517578,122.80000305175781,122.12000274658203,122.54499816894531
2023-06-08 09:30:00-04:00,122.2249984741211,122.80000305175781,121.23999786376953,122.02989959716797
2023-06-08 10:30:00-04:00,122.02999877929688,123.08499908447266,121.63999938964844,122.86000061035156
2023-06-08 11:30:00-04:00,122.8499984741211,123.2249984741211,122.56999969482422,123.05999755859375
2023-06-08 12:30:00-04:00,123.05999755859375,123.12989807128906,122.19999694824219,122.19999694824219
2023-06-08 13:30:00-04:00,122.19499969482422,122.25,121.79000091552734,122.0199966430664
2023-06-08 14:30:00-04:00,122.0250015258789,122.27999877929688,121.94499969482422,121.94499969482422
2023-06-08 15:30:00-04:00,121.94499969482422,122.30000305175781,121.9000015258789,122.13999938964844
2023-06-09 09:30:00-04:00,122.25,123.75499725341797,121.94999694824219,123.55999755859375
2023-06-09 10:30:00-04:00,123.57009887695312,123.58999633789062,122.61000061035156,122.7249984741211
2023-06-09 11:30:00-04:00,122.72000122070312,123.05000305175781,122.08999633789062,122.2300033569336
2023-06-09 12:30:00-04:00,122.23500061035156,122.81999969482422,121.91000366210938,122.79000091552734
2023-06-09 13:30:00-04:00,122.79000091552734,123.29499816894531,122.73999786376953,122.9000015258789
2023-06-09 14:30:00-04:00,122.8998031616211,122.9800033569336,122.52999877929688,122.69999694824219
2023-06-09 15:30:00-04:00,122.69000244140625,122.80000305175781,122.05999755859375,122.25
2023-06-12 09:30:00-04:00,122.52999877929688,122.76000213623047,121.66000366210938,122.16000366210938
2023-06-12 10:30:00-04:00,122.16000366210938,122.44000244140625,121.98500061035156,122.26000213623047
2023-06-12 11:30:00-04:00,122.26000213623047,122.54000091552734,122.19999694824219,122.48670196533203
2023-06-12 12:30:00-04:00,122.48999786376953,122.70999908447266,122.07720184326172,122.65499877929688
2023-06-12 13:30:00-04:00,122.66000366210938,123.30000305175781,122.5999984741211,123.26699829101562
2023-06-12 14:30:00-04:00,123.26000213623047,124.05000305175781,123.23500061035156,123.55999755859375
2023-06-12 15:30:00-04:00,123.55999755859375,123.76000213623047,123.37999725341797,123.68000030517578
2023-06-13 09:30:00-04:00,124.9800033569336,125.16000366210938,123.5801010131836,123.69999694824219
2023-06-13 10:30:00-04:00,123.69000244140625,124.41999816894531,123.56079864501953,124.37000274658203
2023-06-13 11:30:00-04:00,124.38999938964844,124.44000244140625,123.80870056152344,124.0999984741211
2023-06-13 12:30:00-04:00,124.11000061035156,124.2300033569336,123.80999755859375,123.98989868164062
2023-06-13 13:30:00-04:00,123.99259948730469,124.07499694824219,123.3949966430664,123.47000122070312
2023-06-13 14:30:00-04:00,123.47000122070312,123.67500305175781,123.18000030517578,123.56680297851562
2023-06-13 15:30:00-04:00,123.56500244140625,123.91999816894531,123.51499938964844,123.83000183105469
2023-06-14 09:30:00-04:00,123.0999984741211,123.69000244140625,121.44999694824219,123.63500213623047
2023-06-14 10:30:00-04:00,123.63999938964844,124.05000305175781,123.34500122070312,123.68000030517578
2023-06-14 11:30:00-04:00,123.68000030517578,123.9000015258789,123.2300033569336,123.78500366210938
2023-06-14 12:30:00-04:00,123.77999877929688,123.83999633789062,122.81999969482422,122.92500305175781
2023-06-14 13:30:00-04:00,122.93000030517578,123.0199966430664,121.81999969482422,122.23999786376953
2023-06-14 14:30:00-04:00,122.22250366210938,124.0199966430664,122.12000274658203,123.21499633789062
2023-06-14 15:30:00-04:00,123.22000122070312,123.69999694824219,122.87999725341797,123.69999694824219
