date,open,high,low,close
2019-12-31 22:00:00,7185.92,7208.41,7181.78,7200.48
2019-12-31 23:00:00,7200.52,7206.29,7185.76,7195.23
2020-01-01 00:00:00,7195.24,7196.25,7175.46,7177.02
2020-01-01 01:00:00,7176.47,7230.0,7175.71,7216.27
2020-01-01 02:00:00,7215.52,7244.87,7211.41,7242.85
2020-01-01 03:00:00,7242.66,7245.0,7220.0,7225.01
2020-01-01 04:00:00,7225.0,7230.0,7215.03,7217.27
2020-01-01 05:00:00,7217.26,7229.76,7216.65,7224.21
2020-01-01 06:00:00,7224.24,7236.27,7221.51,7225.62
2020-01-01 07:00:00,7225.88,7232.94,7199.11,7209.83
2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64
2020-01-01 09:00:00,7200.29,7210.51,7188.0,7188.77
2020-01-01 10:00:00,7189.07,7210.0,7185.2,7202.0
2020-01-01 11:00:00,7202.01,7237.73,7188.61,7197.2
2020-01-01 12:00:00,7197.2,7233.33,7196.15,7225.59
2020-01-01 13:00:00,7225.84,7231.89,7212.88,7221.2
2020-01-01 14:00:00,7221.17,7234.97,7208.17,7221.43
2020-01-01 15:00:00,7221.6,7255.0,7218.29,7234.19
2020-01-01 16:00:00,7234.2,7246.42,7214.0,7245.37
2020-01-01 17:00:00,7244.34,7249.99,7224.92,7236.83
2020-01-01 18:00:00,7237.02,7246.72,7225.17,7240.67
2020-01-01 19:00:00,7240.8,7241.0,7225.49,7229.48
2020-01-01 20:00:00,7229.48,7242.98,7224.68,7236.73
2020-01-01 21:00:00,7237.26,7242.75,7227.0,7233.17
2020-01-01 22:00:00,7233.32,7234.49,7186.0,7197.99
2020-01-01 23:00:00,7197.62,7204.17,7175.15,7200.85
2020-01-02 00:00:00,7200.77,7212.5,7185.46,7211.02
2020-01-02 01:00:00,7211.04,7211.16,7185.11,7190.99
2020-01-02 02:00:00,7190.99,7191.0,7155.35,7169.02
2020-01-02 03:00:00,7169.04,7169.06,7120.37,7129.61
2020-01-02 04:00:00,7129.25,7161.0,7116.7,7142.21
2020-01-02 05:00:00,7142.61,7152.05,7126.93,7138.93
2020-01-02 06:00:00,7138.93,7149.02,7121.43,7135.97
2020-01-02 07:00:00,7136.04,7140.63,7105.0,7110.57
2020-01-02 08:00:00,7110.98,7157.48,7109.11,7154.36
2020-01-02 09:00:00,7153.57,7165.0,7135.36,7162.01
2020-01-02 10:00:00,7162.18,7180.0,7153.33,7161.83
2020-01-02 11:00:00,7161.89,7168.67,7139.03,7139.79
2020-01-02 12:00:00,7139.73,7163.4,7139.03,7158.29
2020-01-02 13:00:00,7158.86,7163.35,7107.43,7131.15
2020-01-02 14:00:00,7131.18,7157.1,7122.34,7135.59
2020-01-02 15:00:00,7135.59,7152.0,7120.0,7130.98
2020-01-02 16:00:00,7130.37,7146.85,7020.0,7052.32
2020-01-02 17:00:00,7052.32,7053.09,6924.74,6970.04
2020-01-02 18:00:00,6970.04,6989.68,6949.96,6974.02
2020-01-02 19:00:00,6974.02,6995.0,6960.0,6983.27
2020-01-02 20:00:00,6982.63,6983.22,6941.27,6948.49
2020-01-02 21:00:00,6948.16,6985.0,6946.2,6977.73
2020-01-02 22:00:00,6977.55,6978.24,6963.02,6974.8
2020-01-02 23:00:00,6974.8,6974.8,6950.0,6965.71
2020-01-03 00:00:00,6965.49,6966.47,6912.88,6937.0
2020-01-03 01:00:00,6937.0,6946.07,6878.19,6888.85
2020-01-03 02:00:00,6888.26,6966.8,6871.04,6956.88
2020-01-03 03:00:00,6957.66,6966.36,6940.0,6952.04
2020-01-03 04:00:00,6952.04,7264.71,6948.64,7210.19
2020-01-03 05:00:00,7210.2,7249.0,7168.48,7220.47
2020-01-03 06:00:00,7220.49,7225.0,7190.14,7202.22
2020-01-03 07:00:00,7202.06,7232.0,7185.04,7203.21
2020-01-03 08:00:00,7202.28,7297.29,7202.28,7260.6
2020-01-03 09:00:00,7260.64,7358.88,7256.56,7348.42
2020-01-03 10:00:00,7349.3,7371.92,7281.3,7312.25
2020-01-03 11:00:00,7312.26,7346.0,7306.61,7340.46
2020-01-03 12:00:00,7340.46,7350.19,7303.14,7322.78
2020-01-03 13:00:00,7324.1,7380.0,7311.59,7348.87
2020-01-03 14:00:00,7348.36,7362.31,7229.3,7254.73
2020-01-03 15:00:00,7255.49,7322.44,7252.48,7320.18
2020-01-03 16:00:00,7320.17,7405.0,7293.1,7386.03
2020-01-03 17:00:00,7388.21,7403.2,7335.21,7355.26
2020-01-03 18:00:00,7355.23,7369.47,7330.32,7342.96
2020-01-03 19:00:00,7342.95,7352.33,7280.0,7343.08
2020-01-03 20:00:00,7343.62,7361.0,7297.01,7316.99
2020-01-03 21:00:00,7317.01,7335.0,7262.68,7283.0
2020-01-03 22:00:00,7281.69,7320.54,7260.01,7300.56
2020-01-03 23:00:00,7301.32,7346.08,7291.75,7344.96
2020-01-04 00:00:00,7345.0,7350.0,7289.98,7302.24
2020-01-04 01:00:00,7304.96,7312.58,7280.85,7309.16
2020-01-04 02:00:00,7308.71,7328.99,7296.18,7327.83
2020-01-04 03:00:00,7328.21,7339.69,7318.56,7333.11
2020-01-04 04:00:00,7333.14,7338.46,7312.65,7334.86
2020-01-04 05:00:00,7334.59,7369.28,7325.0,7344.69
2020-01-04 06:00:00,7344.7,7367.88,7340.0,7354.96
2020-01-04 07:00:00,7354.95,7363.63,7327.32,7348.11
2020-01-04 08:00:00,7348.04,7365.0,7330.0,7346.59
2020-01-04 09:00:00,7346.4,7369.18,7339.28,7363.88
2020-01-04 10:00:00,7364.32,7369.63,7304.36,7318.3
2020-01-04 11:00:00,7318.15,7339.27,7302.1,7336.45
2020-01-04 12:00:00,7336.75,7339.58,7305.0,7312.89
2020-01-04 13:00:00,7312.79,7326.49,7291.0,7303.88
2020-01-04 14:00:00,7303.72,7323.74,7296.44,7316.72
2020-01-04 15:00:00,7315.51,7332.0,7305.0,7318.99
2020-01-04 16:00:00,7318.98,7323.26,7297.91,7307.11
2020-01-04 17:00:00,7308.0,7352.0,7305.0,7351.99
2020-01-04 18:00:00,7351.36,7404.0,7272.21,7306.92
2020-01-04 19:00:00,7306.6,7353.84,7283.01,7334.83
2020-01-04 20:00:00,7334.89,7352.64,7310.67,7341.06
2020-01-04 21:00:00,7340.9,7367.31,7330.72,7350.68
2020-01-04 22:00:00,7350.72,7359.7,7342.67,7350.24
2020-01-04 23:00:00,7350.05,7363.0,7328.9,7354.11
2020-01-05 00:00:00,7354.19,7393.0,7354.11,7373.48
2020-01-05 01:00:00,7373.43,7481.87,7373.43,7459.18
2020-01-05 02:00:00,7459.91,7482.87,7432.79,7443.79
2020-01-05 03:00:00,7443.92,7478.0,7439.33,7475.99
2020-01-05 04:00:00,7476.0,7495.0,7444.0,7457.14
2020-01-05 05:00:00,7457.18,7470.0,7444.0,7459.12
2020-01-05 06:00:00,7458.51,7481.25,7437.4,7457.5
2020-01-05 07:00:00,7457.83,7470.36,7442.0,7463.63
2020-01-05 08:00:00,7463.64,7472.0,7410.0,7430.05
2020-01-05 09:00:00,7430.0,7436.84,7400.0,7427.74
2020-01-05 10:00:00,7427.7,7432.28,7403.21,7415.12
2020-01-05 11:00:00,7415.1,7440.0,7410.0,7422.33
2020-01-05 12:00:00,7422.27,7460.46,7421.93,7457.01
2020-01-05 13:00:00,7457.79,7458.0,7415.0,7431.15
2020-01-05 14:00:00,7431.16,7444.73,7425.0,7431.82
2020-01-05 15:00:00,7431.71,7476.31,7430.99,7468.42
2020-01-05 16:00:00,7467.91,7484.0,7450.0,7461.38
2020-01-05 17:00:00,7461.26,7470.76,7445.15,7464.65
2020-01-05 18:00:00,7464.62,7468.87,7421.77,7438.72
2020-01-05 19:00:00,7439.02,7449.69,7427.1,7444.14
2020-01-05 20:00:00,7444.71,7445.0,7426.0,7431.6
2020-01-05 21:00:00,7431.01,7431.53,7361.01,7368.52
2020-01-05 22:00:00,7367.62,7385.65,7318.0,7355.73
2020-01-05 23:00:00,7355.73,7363.35,7321.0,7358.75
2020-01-06 00:00:00,7357.64,7384.72,7346.76,7378.75
2020-01-06 01:00:00,7378.97,7426.82,7368.55,7423.5
2020-01-06 02:00:00,7423.06,7562.0,7421.64,7551.44
2020-01-06 03:00:00,7551.47,7580.0,7486.85,7540.9
2020-01-06 04:00:00,7540.9,7554.61,7516.06,7529.52
2020-01-06 05:00:00,7529.52,7541.55,7496.0,7532.85
2020-01-06 06:00:00,7532.85,7537.53,7510.99,7520.0
2020-01-06 07:00:00,7520.0,7527.27,7505.57,7507.91
2020-01-06 08:00:00,7508.18,7551.68,7507.39,7547.55
2020-01-06 09:00:00,7547.88,7553.0,7516.51,7550.78
2020-01-06 10:00:00,7550.84,7576.68,7535.64,7561.22
2020-01-06 11:00:00,7561.27,7582.27,7526.88,7544.72
2020-01-06 12:00:00,7544.72,7566.24,7535.0,7557.42
2020-01-06 13:00:00,7557.77,7622.0,7465.44,7528.64
2020-01-06 14:00:00,7528.59,7558.45,7505.02,7547.93
2020-01-06 15:00:00,7548.1,7553.28,7516.34,7519.99
2020-01-06 16:00:00,7519.05,7546.08,7509.43,7529.24
2020-01-06 17:00:00,7529.01,7561.0,7526.91,7558.48
2020-01-06 18:00:00,7558.78,7560.0,7525.96,7533.0
2020-01-06 19:00:00,7532.5,7551.71,7524.0,7539.9
2020-01-06 20:00:00,7539.74,7557.99,7534.9,7551.25
2020-01-06 21:00:00,7551.24,7608.0,7547.56,7578.42
2020-01-06 22:00:00,7578.42,7752.0,7574.39,7712.63
2020-01-06 23:00:00,7712.58,7795.34,7690.7,7758.0
2020-01-07 00:00:00,7758.9,8000.0,7758.29,7888.42
2020-01-07 01:00:00,7889.64,7919.99,7866.01,7905.67
2020-01-07 02:00:00,7905.67,7940.0,7892.32,7896.2
2020-01-07 03:00:00,7896.08,7916.94,7885.75,7894.9
2020-01-07 04:00:00,7894.71,7905.5,7821.0,7840.83
2020-01-07 05:00:00,7839.75,7882.56,7826.63,7869.33
2020-01-07 06:00:00,7869.29,7876.0,7851.26,7872.91
2020-01-07 07:00:00,7873.05,7896.72,7857.53,7883.37
2020-01-07 08:00:00,7883.11,7904.72,7868.0,7883.97
2020-01-07 09:00:00,7884.32,7886.17,7855.0,7856.26
2020-01-07 10:00:00,7856.26,7889.78,7856.15,7889.24
2020-01-07 11:00:00,7888.12,7965.0,7881.69,7895.14
2020-01-07 12:00:00,7895.13,7915.77,7840.0,7869.05
2020-01-07 13:00:00,7869.02,7869.03,7810.73,7847.99
2020-01-07 14:00:00,7847.99,7884.59,7837.26,7838.8
2020-01-07 15:00:00,7841.16,7847.99,7740.29,7764.59
2020-01-07 16:00:00,7764.04,7940.12,7723.71,7912.18
2020-01-07 17:00:00,7912.18,7952.05,7878.01,7938.33
2020-01-07 18:00:00,7937.88,8137.0,7919.22,8037.69
2020-01-07 19:00:00,8038.54,8111.45,8032.39,8073.69
2020-01-07 20:00:00,8073.69,8175.01,8041.28,8162.66
2020-01-07 21:00:00,8162.57,8188.0,7975.74,8016.44
2020-01-07 22:00:00,8016.43,8067.06,7945.72,8049.55
2020-01-07 23:00:00,8049.83,8207.68,8020.7,8145.28
2020-01-08 00:00:00,8145.92,8455.0,8142.0,8431.82
2020-01-08 01:00:00,8430.53,8448.14,8328.89,8370.92
2020-01-08 02:00:00,8370.93,8422.0,8256.74,8278.59
2020-01-08 03:00:00,8278.07,8344.0,8244.93,8300.34
2020-01-08 04:00:00,8300.34,8355.87,8288.0,8344.63
2020-01-08 05:00:00,8343.92,8377.0,8307.85,8334.77
2020-01-08 06:00:00,8334.76,8367.61,8319.0,8339.13
2020-01-08 07:00:00,8339.14,8347.99,8277.21,8297.26
2020-01-08 08:00:00,8297.27,8329.09,8264.86,8312.04
2020-01-08 09:00:00,8312.05,8321.83,8276.0,8297.21
2020-01-08 10:00:00,8296.98,8359.0,8284.19,8326.98
2020-01-08 11:00:00,8327.06,8370.0,8325.03,8332.47
2020-01-08 12:00:00,8332.2,8347.33,8276.0,8286.16
2020-01-08 13:00:00,8285.92,8418.61,8215.2,8384.99
2020-01-08 14:00:00,8384.99,8385.0,8184.0,8310.98
2020-01-08 15:00:00,8310.98,8359.0,8237.36,8305.97
2020-01-08 16:00:00,8306.09,8335.79,8050.0,8115.0
2020-01-08 17:00:00,8115.0,8123.98,8010.0,8077.68
2020-01-08 18:00:00,8077.68,8094.93,8035.01,8053.7
2020-01-08 19:00:00,8053.7,8069.73,7963.05,7963.35
2020-01-08 20:00:00,7963.56,8060.86,7870.0,8046.03
2020-01-08 21:00:00,8046.42,8048.66,7957.55,8016.06
2020-01-08 22:00:00,8017.36,8080.0,7988.58,8076.13
2020-01-08 23:00:00,8076.13,8125.57,8023.55,8055.98
2020-01-09 00:00:00,8054.72,8055.96,7928.0,7956.55
2020-01-09 01:00:00,7956.88,8037.37,7950.0,8004.8
2020-01-09 02:00:00,8004.05,8026.01,7980.0,7982.75
2020-01-09 03:00:00,7983.09,7993.46,7935.56,7954.72
2020-01-09 04:00:00,7954.96,7978.31,7928.0,7966.85
2020-01-09 05:00:00,7966.75,7966.75,7925.68,7941.83
2020-01-09 06:00:00,7941.99,7951.68,7896.0,7908.48
2020-01-09 07:00:00,7908.71,7976.67,7903.4,7949.84
2020-01-09 08:00:00,7949.57,7955.83,7909.3,7933.1
2020-01-09 09:00:00,7932.51,7932.94,7864.24,7872.35
2020-01-09 10:00:00,7872.36,7934.78,7852.01,7896.38
2020-01-09 11:00:00,7895.56,7901.99,7855.0,7878.56
2020-01-09 12:00:00,7878.02,7917.68,7871.0,7900.91
2020-01-09 13:00:00,7901.49,7945.0,7891.43,7897.52
2020-01-09 14:00:00,7897.54,7919.59,7875.55,7885.5
2020-01-09 15:00:00,7885.5,7930.0,7882.75,7907.05
2020-01-09 16:00:00,7907.05,7920.01,7805.01,7818.15
2020-01-09 17:00:00,7818.15,7846.0,7778.0,7798.6
2020-01-09 18:00:00,7798.23,7832.13,7788.68,7810.64
2020-01-09 19:00:00,7810.68,7957.48,7810.3,7917.54
2020-01-09 20:00:00,7917.55,8000.0,7805.0,7818.3
2020-01-09 21:00:00,7819.97,7854.14,7750.0,7789.96
2020-01-09 22:00:00,7789.99,7873.12,7788.78,7811.31
2020-01-09 23:00:00,7811.31,7835.0,7790.01,7817.76
2020-01-10 00:00:00,7817.74,7854.06,7811.05,7820.01
2020-01-10 01:00:00,7820.25,7841.57,7786.12,7804.99
2020-01-10 02:00:00,7804.99,7825.0,7793.34,7803.68
2020-01-10 03:00:00,7803.68,7825.0,7770.0,7818.02
2020-01-10 04:00:00,7818.06,7819.84,7768.4,7795.3
2020-01-10 05:00:00,7795.33,7797.95,7735.0,7748.86
2020-01-10 06:00:00,7748.0,7786.13,7711.76,7748.64
2020-01-10 07:00:00,7747.25,7757.38,7725.77,7752.98
2020-01-10 08:00:00,7753.05,7754.36,7680.0,7706.53
2020-01-10 09:00:00,7706.52,7750.0,7691.91,7716.47
2020-01-10 10:00:00,7716.02,7788.0,7672.0,7771.87
2020-01-10 11:00:00,7772.12,7854.44,7766.93,7841.69
2020-01-10 12:00:00,7841.03,7899.98,7811.0,7893.98
2020-01-10 13:00:00,7893.98,7944.0,7862.31,7870.4
2020-01-10 14:00:00,7870.7,7982.85,7850.01,7978.65
2020-01-10 15:00:00,7978.65,8086.85,7945.44,8066.6
2020-01-10 16:00:00,8067.5,8140.11,7928.94,7952.65
2020-01-10 17:00:00,7952.23,7979.0,7909.98,7966.3
2020-01-10 18:00:00,7966.3,8113.53,7966.3,8022.16
2020-01-10 19:00:00,8022.15,8122.0,7964.01,8059.49
2020-01-10 20:00:00,8058.05,8100.0,8039.27,8073.16
2020-01-10 21:00:00,8074.0,8135.21,8006.65,8049.99
2020-01-10 22:00:00,8048.24,8101.86,7981.59,8090.13
2020-01-10 23:00:00,8090.13,8199.0,8064.64,8197.02
2020-01-11 00:00:00,8198.86,8200.0,8119.75,8168.92
2020-01-11 01:00:00,8168.39,8253.26,8165.16,8204.86
2020-01-11 02:00:00,8204.84,8217.41,8155.02,8206.19
2020-01-11 03:00:00,8206.0,8207.81,8125.09,8158.49
2020-01-11 04:00:00,8158.83,8179.94,8101.0,8117.82
2020-01-11 05:00:00,8118.4,8118.4,8044.65,8083.41
